City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-11-23 03:35:31,-21.2078,-159.775,74.75,78,100,19.17
1,Albany,US,2022-11-23 03:35:56,42.6001,-73.9662,37.54,71,17,4.29
2,Busselton,AU,2022-11-23 03:39:58,-33.65,115.3333,76.51,48,27,10.02
3,Saskylakh,RU,2022-11-23 03:39:59,71.9167,114.0833,-38.7,100,56,1.68
4,Kokopo,PG,2022-11-23 03:39:59,-4.352,152.2633,86.72,58,86,7.05
5,Katsuura,JP,2022-11-23 03:40:00,35.1333,140.3,57.22,89,100,20.49
6,Kijang,KR,2022-11-23 03:40:00,35.2442,129.2139,62.33,60,84,6.6
7,Acarau,BR,2022-11-23 03:40:00,-2.8856,-40.12,78.67,78,24,16.69
8,Omboue,GA,2022-11-23 03:40:01,-1.5746,9.2618,76.15,91,100,2.89
9,Mataura,NZ,2022-11-23 03:40:02,-46.1927,168.8643,60.48,31,79,7.56
10,Provideniya,RU,2022-11-23 03:40:02,64.3833,-173.3,14.11,57,20,17.9
11,Penzance,GB,2022-11-23 03:36:36,50.1186,-5.5371,54.28,78,89,34.31
12,Puerto Ayora,EC,2022-11-23 03:40:03,-0.7393,-90.3518,68.56,96,51,1.99
13,Chuy,UY,2022-11-23 03:40:05,-33.6971,-53.4616,54.27,92,32,4.7
14,Cidreira,BR,2022-11-23 03:40:06,-30.1811,-50.2056,67.03,92,100,7.87
15,Bluff,NZ,2022-11-23 03:40:06,-46.6,168.3333,60.8,59,81,6.58
16,Shache,CN,2022-11-23 03:40:07,38.4167,77.2406,50.27,19,0,5.35
17,Lebu,CL,2022-11-23 03:40:07,-37.6167,-73.65,57.24,90,94,12.48
18,Ostrovnoy,RU,2022-11-23 03:40:08,68.0531,39.5131,35.73,77,97,8.97
19,Airai,TL,2022-11-23 03:40:08,-8.9266,125.4092,72.07,73,88,0.49
20,Rikitea,PF,2022-11-23 03:40:09,-23.1203,-134.9692,73.17,86,38,10.98
21,Tallahassee,US,2022-11-23 03:40:10,30.4383,-84.2807,60.01,85,100,5.97
22,Jacareacanga,BR,2022-11-23 03:40:10,-6.2222,-57.7528,72.99,99,100,3.04
23,Ushuaia,AR,2022-11-23 03:40:11,-54.8,-68.3,40.66,87,75,35.68
24,Tautira,PF,2022-11-23 03:40:11,-17.7333,-149.15,76.42,86,100,12.33
25,Xuddur,SO,2022-11-23 03:40:12,4.1213,43.8894,70.56,84,10,15.05
26,Victoria,HK,2022-11-23 03:36:37,22.2855,114.1577,78.85,89,100,8.01
27,Makakilo City,US,2022-11-23 03:40:12,21.3469,-158.0858,79.12,60,20,9.22
28,Verkhnyaya Inta,RU,2022-11-23 03:40:13,65.9811,60.3094,-10.66,95,31,7.76
29,Beloha,MG,2022-11-23 03:40:14,-25.1667,45.05,72.55,71,5,15.17
30,Mezen,RU,2022-11-23 03:40:14,65.8522,44.24,16.45,95,25,5.01
31,Vigia Del Fuerte,CO,2022-11-23 03:40:15,6.5789,-76.8863,71.94,99,75,2.71
32,Teguldet,RU,2022-11-23 03:40:15,57.3064,88.1667,2.55,89,100,11.5
33,Touros,BR,2022-11-23 03:40:16,-5.1989,-35.4608,78.75,67,100,13.73
34,Yar-Sale,RU,2022-11-23 03:40:17,66.8333,70.8333,-0.17,97,100,10.18
